f,Z,Phi,Rs,Rct,C
Frequency (Hz),Z (Ω),#NAME?,Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,290037.5986,89.26419023,6990.7,54529000000,5.71E-12
68129,427743.2681,89.14825551,,,
46416,627043.8201,89.16629961,,,
31623,916190.7725,89.182025,,,
21544,1345435.021,89.10237421,,,
14678,1962221.735,89.1161888,,,
10000,2883210.9,89.08878653,,,
6812.9,4206521.215,89.10965342,,,
4641.6,6156429.2,89.18702965,,,
3162.3,9013004.64,89.13647853,,,
2154.4,13214037.52,89.05133464,,,
1467.8,19259912.32,89.00551709,,,
1000,28224947.12,89.01232604,,,
681.29,41201887.7,88.99546737,,,
464.16,60420895.96,88.68669003,,,
316.23,88161938.86,88.71453627,,,
215.44,128827702.8,88.31085041,,,
146.78,187278245.1,88.04801152,,,
100,270210584.8,88.49644801,,,
68.129,397204156.9,87.98428667,,,
46.416,581842546,87.54262921,,,
31.623,805055574.2,86.31224915,,,
21.544,1243014456,87.06653622,,,
14.678,1796352005,89.34241889,,,
10,2666200707,89.09546435,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,126704.562608043,86.146547954949,15131,2000100000,1.7302E-11
68129,185522.023928414,86.4607669800509,,,
46416,270852.906481592,86.573499158732,,,
31623,394165.409485451,86.3905538455144,,,
21544,572784.956308023,85.958035565583,,,
14678,826675.854729927,85.3055770173873,,,
10000,1192144.56550364,84.5569563933864,,,
6812.9,1706066.65982204,83.8150444444897,,,
4641.6,2430967.57880571,83.1156465588375,,,
3162.3,3447445.51643262,82.5661671402536,,,
2154.4,4868957.07210816,82.3369514385323,,,
1467.8,6904319.85513195,82.2493097940162,,,
1000,9785116.49054637,82.3529406198295,,,
681.29,13916568.6542801,82.6305596203678,,,
464.16,19840807.3218748,82.7591577905678,,,
316.23,28348207.9987893,82.7972660285918,,,
215.44,40409328.0345374,82.701617757768,,,
146.78,57601380.9702852,82.3461675425103,,,
100,82273849.764997,82.1985106028229,,,
68.129,117099977.74768,81.7569012396208,,,
46.416,166805919.893445,81.1932359632668,,,
31.623,235600144.94979,80.4969332546527,,,
21.544,336840207.329829,79.9781368317003,,,
14.678,474694496.161707,78.7896926588436,,,
10,660821100.548422,77.1766512116904,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,859250.969012129,90.844605862358,31022,908890000,2.3719E-12
68129,1269691.45377569,89.2477259045931,,,
46416,1857080.61671844,88.5872253464646,,,
31623,2706841.34426573,87.9135837004914,,,
21544,3930728.90532922,87.2250307842466,,,
14678,5714690.41332186,86.1805573186136,,,
10000,8311489.30825401,85.1116526102837,,,
6812.9,11917052.3718663,84.3591158609508,,,
4641.6,17103803.3726752,82.947979467009,,,
3162.3,24311850.9876005,81.5031702148619,,,
2154.4,34674373.4378966,80.1380481787198,,,
1467.8,48589325.5613958,78.4739085107063,,,
1000,67800831.0942854,77.1892078344125,,,
681.29,95351643.1316762,75.3433758052164,,,
464.16,132003829.322621,73.8056791916739,,,
316.23,183184681.31364,70.9631810795703,,,
215.44,248340792.530214,67.1319565930275,,,
146.78,335712671.798558,62.804971808651,,,
100,434057386.631478,56.7767191834596,,,
68.129,544907566.173775,52.3228103709098,,,
46.416,662373609.405179,48.826528609635,,,
31.623,793227991.841093,45.3827784737673,,,
21.544,929437694.022247,43.6354484514897,,,
14.678,1107248657.50114,40.1234646909293,,,
10,1252218167.80047,42.7915478630089,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,812885.601144814,89.4290843640938,53632,1160400000,2.5782E-12
68129,1197612.48329198,88.1557510276722,,,
46416,1735752.22398777,87.3157567531893,,,
31623,2518196.43300202,86.9140456206397,,,
21544,3633892.86148482,86.5394780731479,,,
14678,5267478.02742859,85.913245868646,,,
10000,7641078.61406415,85.4167689528066,,,
6812.9,10982417.0247417,84.6756421366008,,,
4641.6,15810902.7936375,84.2393172336085,,,
3162.3,22680416.3930878,82.9592667827301,,,
2154.4,32387563.5521857,82.0247720613185,,,
1467.8,46036358.7080755,80.617600534342,,,
1000,65332243.7745226,79.4652075181823,,,
681.29,91879579.7460428,77.602220222383,,,
464.16,128298720.483771,75.9912028482169,,,
316.23,178999705.601329,73.0989987881573,,,
215.44,247023061.906785,69.8502258164793,,,
146.78,331581063.908897,66.4571485377084,,,
100,430171753.923948,62.3786207085627,,,
68.129,559660370.787021,58.1623801389651,,,
46.416,715788602.910117,54.5884394694125,,,
31.623,872281667.962526,52.14675124884,,,
21.544,1082053148.76006,50.4561373812653,,,
14.678,1335100026.81488,47.7795444432998,,,
10,1608726847.73919,47.9763200496025,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,756461.618442311,90.4763850080601,22436,1107500000,2.6572E-12
68129,1117740.37042134,89.281412893134,,,
46416,1630398.759299,88.5513497978246,,,
31623,2373604.8695777,88.1083050182202,,,
21544,3441210.25429665,87.7879423447052,,,
14678,5008662.0013429,87.2766915023866,,,
10000,7321089.95652031,86.8231745468365,,,
6812.9,10570558.1940168,86.4149745604288,,,
4641.6,15389907.0228982,85.8692163669438,,,
3162.3,22172338.9732247,85.2769517773145,,,
2154.4,31981015.2855468,84.306603073557,,,
1467.8,46261449.9692597,82.6920712102467,,,
1000,66237654.8060128,81.0707497014639,,,
681.29,94658429.0732516,78.67518360984,,,
464.16,133948600.962688,76.2613999025633,,,
316.23,187226332.673326,72.3767965677366,,,
215.44,251207495.845094,67.5187853541486,,,
146.78,328313856.023435,64.0944713626669,,,
100,414343948.45301,61.2214485760612,,,
68.129,524361188.086538,60.1629948090286,,,
46.416,660405820.522799,60.2208250619054,,,
31.623,848710439.300425,60.1625482930009,,,
21.544,1141907846.93263,62.3108991228907,,,
14.678,1435456369.0956,61.4656173462883,,,
10,1989042463.60901,60.7172081396098,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,780600.558909448,89.1844573208593,64478,1705500000,3.1043E-12
68129,1144231.88001602,87.8749575245631,,,
46416,1658500.20591737,87.051102786525,,,
31623,2396160.19586373,86.3393332277206,,,
21544,3471872.87397718,85.7903533312863,,,
14678,5012413.06618592,85.0797039378042,,,
10000,7220776.65898104,84.314014675368,,,
6812.9,10338833.023063,83.5063211248473,,,
4641.6,14741557.0659846,82.6037712861173,,,
3162.3,21020710.7971158,81.8535597228721,,,
2154.4,29664886.0843228,80.2081567303116,,,
1467.8,41888063.2450685,79.3061122201178,,,
1000,58561604.3792207,78.2475759756963,,,
681.29,81721362.4639915,77.0759920841689,,,
464.16,113412890.409016,76.0124963530172,,,
316.23,157690537.13459,74.2024256752422,,,
215.44,218236244.135772,72.7135623726609,,,
146.78,293053262.390587,70.9742538424124,,,
100,392856935.047854,68.7903067195949,,,
68.129,523802772.159501,67.8082364622157,,,
46.416,687929773.441771,66.1643761586449,,,
31.623,923390951.871294,64.5921259375744,,,
21.544,1221977207.23179,63.8178272641596,,,
14.678,1559846093.4581,62.6027783645629,,,
10,2039227023.35138,63.067482416441,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,768894.845217535,88.5990445762732,57375,9690200000,3.4872E-12
68129,1128919.2428681,87.9240037796433,,,
46416,1647262.19996205,87.554891051017,,,
31623,2376621.04242791,86.8879809762998,,,
21544,3449421.97689996,86.3171117249513,,,
14678,4980989.1209846,86.2082248990749,,,
10000,7213629.30440384,85.800449459244,,,
6812.9,10414239.6257863,85.3573434848395,,,
4641.6,14928909.3376309,85.0578739820473,,,
3162.3,21659291.7490298,84.4695453885405,,,
2154.4,30741435.8229755,84.3739187363881,,,
1467.8,44010952.8863939,84.0989613844836,,,
1000,63174412.9442164,83.1535862434282,,,
681.29,90703567.2990624,82.6286065366243,,,
464.16,128325508.827616,82.9755765344317,,,
316.23,188405627.494305,82.1375095807119,,,
215.44,240198848.087724,84.8564960853202,,,
146.78,374060922.442388,84.0435723815358,,,
100,583894292.819749,105.851882378964,,,
68.129,838449356.828709,82.4775314526752,,,
46.416,598588266.306137,54.2196313753098,,,
31.623,725200509.542175,94.7128775132731,,,
21.544,1535616589.83787,55.3668040938492,,,
14.678,3312758640.77114,107.610807538167,,,
10,3697596027.59261,76.2568718801561,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,818176.417463395,89.2145849246771,67587,5068500000,2.7049E-12
68129,1203270.0645547,87.8108397009118,,,
46416,1743880.36683395,86.644200171546,,,
31623,2515881.3394824,86.0133995612696,,,
21544,3610414.76101613,85.771348389957,,,
14678,5175677.5084948,84.8628555892945,,,
10000,7446087.26760116,84.3084697820108,,,
6812.9,10609137.6092525,84.3794772753708,,,
4641.6,15222237.6418804,84.0519288472905,,,
3162.3,21787059.2562243,84.2078543302832,,,
2154.4,31356587.7738771,83.9007731523911,,,
1467.8,44672727.5163656,83.4731150532601,,,
1000,63908892.5173432,83.229432026468,,,
681.29,90910441.839787,82.5478461734399,,,
464.16,129578468.568842,81.8045487899857,,,
316.23,185664316.696191,81.0229437929071,,,
215.44,259333215.041536,81.0669124823665,,,
146.78,368577761.048711,79.8207855054208,,,
100,514868583.75465,78.1004331096602,,,
68.129,719022840.504804,76.6199786198884,,,
46.416,1022611583.73707,74.2003838579459,,,
31.623,1371912501.96559,72.0816172298339,,,
21.544,1952149401.15195,70.3105438208405,,,
14.678,2454986639.20587,66.4669253428421,,,
10,3486849546.81598,62.747785345948,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,847996.426654663,89.730072326391,67050,7914500000,2.6772E-12
68129,1247828.12436828,87.9866463818298,,,
46416,1816264.38324214,86.9098674967044,,,
31623,2608534.8022805,86.0164125464867,,,
21544,3775819.44731988,85.5435168196855,,,
14678,5380800.28035497,84.6544329955726,,,
10000,7738209.22568732,84.0326714665118,,,
6812.9,10980125.4444357,83.5302084581515,,,
4641.6,15718332.8120721,83.2334410660881,,,
3162.3,22362657.2792972,83.1750215962903,,,
2154.4,31713485.3198073,82.7654500333658,,,
1467.8,45252454.1653134,82.6404257034352,,,
1000,64389582.2121141,82.6694633455723,,,
681.29,92017800.4628997,82.1618014497873,,,
464.16,130654630.605275,82.3122172476503,,,
316.23,187093034.60801,82.1976824464404,,,
215.44,264196061.849139,81.7941063693768,,,
146.78,372043887.248735,80.4085935062276,,,
100,526391009.568638,79.6122540875299,,,
68.129,741341328.187772,78.8312611147085,,,
46.416,1047920556.17228,78.4686489317261,,,
31.623,1525136433.65965,74.8840903268262,,,
21.544,2029211914.20601,73.5659881712653,,,
14.678,2806076278.04567,77.7723327780157,,,
10,3855593429.79628,69.8650417526015,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,898679.33824325,90.4528946161315,45415,6538400000,2.5648E-12
68129,1333804.14290502,88.9281693263459,,,
46416,1934324.82275112,88.1336558753302,,,
31623,2811615.38942196,87.3747703149423,,,
21544,4114063.07589166,86.7697572314005,,,
14678,5905590.2495518,85.8340081579631,,,
10000,8544193.17265429,85.1975006530069,,,
6812.9,12240992.3408999,84.4413041494103,,,
4641.6,17535595.9384323,83.6301131757074,,,
3162.3,25137198.4189767,83.2867070385639,,,
2154.4,35571530.3209411,82.6159699169963,,,
1467.8,50254161.8503508,81.5086631563902,,,
1000,71130415.0817647,80.8546101641969,,,
681.29,100771545.103861,80.5109486109645,,,
464.16,142194691.412046,79.3138435312681,,,
316.23,199500567.570442,79.4131443436651,,,
215.44,279759020.444312,78.6563247140601,,,
146.78,385429938.408324,78.1217872704477,,,
100,540568065.185946,78.7264121960663,,,
68.129,745206845.685738,76.5606224408051,,,
46.416,1046267864.31384,76.1010230270639,,,
31.623,1441619478.48246,71.9113852717594,,,
21.544,2033013249.44576,73.7862222592656,,,
14.678,2725237238.94972,70.8233194450975,,,
10,3811915842.43764,75.6838713872919,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,937692.856093225,91.5924838272965,20017,4866600000,2.2912E-12
68129,1397168.31395038,89.9618111521408,,,
46416,2047535.75619749,88.9469316461671,,,
31623,2974854.91756297,88.427551442221,,,
21544,4350912.18562627,87.4576664085996,,,
14678,6288213.07807857,86.6771065142656,,,
10000,9169660.40297814,85.9139866192929,,,
6812.9,13119080.1228808,84.9066191340596,,,
4641.6,18856151.2480066,84.0181797636148,,,
3162.3,27000604.3957884,83.1171527869236,,,
2154.4,38579666.5894229,82.6109742655356,,,
1467.8,54274590.8060383,81.7457826092122,,,
1000,76525910.410156,81.3226376465349,,,
681.29,108238852.169829,80.7923403941671,,,
464.16,152463880.507881,80.5623954695524,,,
316.23,217633728.042416,79.4350365049854,,,
215.44,307461156.677102,79.3616857461452,,,
146.78,430143917.0996,79.0579540537824,,,
100,597495638.083602,77.6594110959813,,,
68.129,842480612.954035,76.6850875452822,,,
46.416,1171102783.61454,74.2301720931496,,,
31.623,1610306295.72152,69.2143343774461,,,
21.544,2052330803.15478,67.2791975114774,,,
14.678,2656049200.91742,65.8478643079599,,,
10,3811942857.60872,62.1578830693677,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,868695.006624374,89.8442467108498,57230,5094000000,2.661E-12
68129,1275859.39987259,88.5369603247622,,,
46416,1862846.86940104,87.6640277937427,,,
31623,2692230.64929202,86.7044897059427,,,
21544,3885544.55901102,86.4059614026009,,,
14678,5597386.08273247,85.2558859270972,,,
10000,8068786.74410051,84.2808406452122,,,
6812.9,11497531.3149549,83.9092843386023,,,
4641.6,16395916.5452108,83.4013234103784,,,
3162.3,23337948.332237,82.9698024987268,,,
2154.4,33232043.7932185,82.1615456953193,,,
1467.8,47242369.048794,81.7709860943697,,,
1000,66952582.9192935,81.5029870372884,,,
681.29,94470761.8936331,81.0529033796255,,,
464.16,134525731.542382,80.270705894306,,,
316.23,188695767.570594,80.0518473896361,,,
215.44,264537141.292353,78.4212769503068,,,
146.78,374323943.985584,78.3563932450988,,,
100,521065729.647768,76.1657287602878,,,
68.129,719460564.244922,75.7800409667093,,,
46.416,1009697634.55291,74.0099613114494,,,
31.623,1352594971.32081,73.4664924327623,,,
21.544,1903769873.19796,70.850061260433,,,
14.678,2487929704.34945,68.9665236605512,,,
10,3448370373.99743,66.1936089684241,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,1051244.3729557,92.3436436779312,508.01,8448500000,1.9502E-12
68129,1563643.80886926,90.545678618935,,,
46416,2297413.13358467,89.430048898875,,,
31623,3351090.74245983,89.1670218045332,,,
21544,4946354.13603057,88.0933459732491,,,
14678,7120583.01637346,87.3284581785738,,,
10000,10368244.4275085,86.8844178300633,,,
6812.9,14952886.1458645,86.0468349879467,,,
4641.6,21535309.8993438,85.4336601273068,,,
3162.3,31097945.9968852,84.5465286989153,,,
2154.4,44563803.8893688,84.1306304739799,,,
1467.8,63152614.5772044,83.1630459200121,,,
1000,90157431.8403029,82.7734636503502,,,
681.29,127585328.934611,81.8101944576075,,,
464.16,183287327.90017,81.2780147623108,,,
316.23,257480971.491544,80.0943230526752,,,
215.44,366931554.793824,80.1882810072898,,,
146.78,512235577.214261,79.2747794602021,,,
100,707067691.937314,77.4599460506395,,,
68.129,1019600538.79284,77.9501006553177,,,
46.416,1401737369.42322,76.18036869324,,,
31.623,1938690786.46055,75.6293471840956,,,
21.544,2693717679.39071,72.6478680920749,,,
14.678,3840381079.61645,73.6344477197435,,,
10,5047530809.83039,59.1527384393543,,,
Frequency (Hz),Z (Ω),-Phase (°),Output Rs.R (Ω),Output Rct.R (Ω),Output C.C (F)
100000,866672.254603608,86.9987450035403,149020,1776700000,3.1051E-12
68129,1253885.68942599,84.8270331619058,,,
46416,1788428.2076345,83.2926046260367,,,
31623,2502010.4755919,82.2146638517949,,,
21544,3533554.5581898,81.7820814055191,,,
14678,4985897.08547025,81.6079753710707,,,
10000,7068777.08281199,81.6294420221046,,,
6812.9,9975585.89427401,81.5118024128097,,,
4641.6,14222002.3617806,81.45369149241,,,
